Circuit,TotalRaces,P1StarterWins,WinPct,Summary
Marina Bay,2,2,100.0,2 of 2 races
Montréal,2,2,100.0,2 of 2 races
Sakhir,2,2,100.0,2 of 2 races
Suzuka,2,2,100.0,2 of 2 races
Zandvoort,2,2,100.0,2 of 2 races
Austin,1,1,100.0,1 of 1 races
Imola,1,1,100.0,1 of 1 races
Le Castellet,1,1,100.0,1 of 1 races
Mexico City,1,1,100.0,1 of 1 races
São Paulo,1,1,100.0,1 of 1 races
Yas Island,1,1,100.0,1 of 1 races
Barcelona,2,1,50.0,1 of 2 races
Budapest,2,1,50.0,1 of 2 races
Melbourne,2,1,50.0,1 of 2 races
Monaco,2,1,50.0,1 of 2 races
Spielberg,2,1,50.0,1 of 2 races
Baku,2,0,0.0,0 of 2 races
Jeddah,2,0,0.0,0 of 2 races
Miami,2,0,0.0,0 of 2 races
Monza,2,0,0.0,0 of 2 races
Silverstone,2,0,0.0,0 of 2 races
Spa-Francorchamps,2,0,0.0,0 of 2 races
